RecordWritten,Cluster_ID
18,3
18,4
18,3
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,2
18,1
18,2
18,1
18,1
18,1
18,3
18,2
18,4
18,3
18,2
18,2
18,3
18,2
18,3
18,1
18,2
18,2
18,3
18,3
18,4
18,2
18,3
18,3
18,3
18,4
18,3
18,1
18,4
18,3
18,4
18,7
18,2
18,2
18,1
18,2
18,1
18,2
18,2
18,1
18,2
18,2
18,2
18,1
18,2
18,4
18,2
18,2
18,2
18,3
18,1
18,3
18,1
18,2
18,2
18,1
18,2
18,1
18,2
18,2
18,1
18,2
18,2
18,4
18,2
18,1
18,3
18,4
18,3
18,1
18,2
18,2
18,2
18,1
18,3
18,4
18,2
18,2
18,1
18,1
18,2
18,2
18,2
18,3
18,3
18,1
18,3
18,3
18,2
18,3
18,1
18,2
18,2
18,3
18,2
18,3
18,2
18,1
18,7
18,2
18,2
18,1
18,2
18,2
18,1
18,3
18,2
18,3
18,1
18,3
18,2
18,1
18,2
18,2
18,2
18,3
18,2
18,2
18,1
18,3
18,3
18,3
18,1
18,4
18,1
18,3
18,1
18,4
18,3
18,2
18,3
18,2
18,2
18,2
18,2
18,4
18,2
18,2
18,3
18,2
18,1
18,1
18,2
18,2
18,3
18,2
18,3
18,2
18,3
18,1
18,3
18,1
18,4
18,4
18,3
18,1
18,3
18,4
18,2
18,3
18,4
18,3
18,2
18,2
18,2
18,1
18,4
18,2
18,3
18,3
18,2
18,4
18,4
18,3
18,1
18,2
18,4
18,3
18,3
18,3
18,3
18,2
18,2
18,2
18,4
18,1
18,2
18,2
18,2
18,1
18,3
18,3
18,3
18,3
18,1
18,1
18,2
18,3
18,2
18,3
18,3
18,4
18,2
18,4
18,1
18,4
18,1
18,1
18,3
18,2
18,3
18,2
18,3
18,3
18,6
18,2
18,3
18,3
18,2
18,2
18,3
18,1
18,1
18,1
18,2
18,1
18,2
18,3
18,1
18,2
18,2
18,3
18,1
18,4
18,3
18,5
18,3
18,2
18,8
18,3
18,3
18,1
18,3
18,2
18,3
18,4
18,2
18,3
18,2
18,1
18,3
18,3
18,3
18,3
18,3
18,2
18,2
18,1
18,1
18,3
18,3
18,2
18,3
18,2
18,2
18,3
18,2
18,1
18,3
18,3
18,2
18,3
18,2
18,3
18,2
18,4
18,2
18,2
18,4
18,2
18,1
18,3
18,3
18,2
18,2
18,8
18,2
18,2
18,4
18,2
18,3
18,2
18,1
18,3
18,3
18,2
18,3
18,2
18,5
18,3
18,4
18,2
18,3
18,2
18,3
18,1
18,1
18,2
18,2
18,1
18,2
18,3
18,1
18,1
18,2
18,2
18,2
18,2
18,3
18,4
18,3
18,2
18,2
18,4
18,4
18,1
18,2
18,2
18,2
18,2
18,3
18,3
18,1
18,3
18,4
18,2
18,3
18,2
18,2
18,1
18,3
18,2
18,3
18,2
18,2
18,3
18,4
18,4
18,2
18,4
18,2
18,2
18,3
18,2
18,2
18,3
18,3
18,2
18,2
18,4
18,2
18,1
18,1
18,2
18,2
18,2
18,2
18,4
18,1
18,3
18,4
18,3
18,4
18,7
18,4
18,2
18,4
18,2
18,3
18,2
18,2
18,3
18,1
18,3
18,1
18,3
18,2
18,2
18,2
18,3
18,1
18,1
18,6
18,2
18,2
18,2
18,2
18,1
18,1
18,3
18,1
18,2
18,2
18,3
18,2
18,4
18,1
18,4
18,1
18,1
18,3
18,1
18,2
18,3
18,3
18,2
18,2
18,6
18,1
18,1
18,1
18,1
